TXNAME	GENEID
ENSDART00000145053.2	ENSDARG00000037409.7
ENSDART00000152402.2	ENSDARG00000090977.4
ENSDART00000159564.2	ENSDARG00000100737.2
ENSDART00000180783.1	ENSDARG00000100737.2
ENSDART00000192457.1	ENSDARG00000079473.5
ENSDART00000144282.2	ENSDARG00000079473.5
ENSDART00000179777.1	ENSDARG00000079473.5
ENSDART00000157079.2	ENSDARG00000096971.2
ENSDART00000154499.2	ENSDARG00000096971.2
ENSDART00000103549.5	ENSDARG00000008034.11
ENSDART00000159214.2	ENSDARG00000008034.11
ENSDART00000109752.4	ENSDARG00000075954.4
ENSDART00000113795.4	ENSDARG00000077982.5
ENSDART00000150211.2	ENSDARG00000077982.5
ENSDART00000149460.3	ENSDARG00000077982.5
ENSDART00000133974.3	ENSDARG00000095800.3
ENSDART00000156341.3	ENSDARG00000074921.5
ENSDART00000090065.6	ENSDARG00000074921.5
ENSDART00000113945.4	ENSDARG00000017983.11
ENSDART00000026831.10	ENSDARG00000017983.11
ENSDART00000173821.2	ENSDARG00000105514.2
ENSDART00000052511.6	ENSDARG00000036161.8
ENSDART00000083063.6	ENSDARG00000019930.10
ENSDART00000131946.2	ENSDARG00000043858.8
ENSDART00000193151.1	ENSDARG00000043858.8
ENSDART00000104667.5	ENSDARG00000043858.8
ENSDART00000029051.5	ENSDARG00000039832.6
ENSDART00000112460.3	ENSDARG00000076991.3
ENSDART00000154553.2	ENSDARG00000037895.6
ENSDART00000055237.6	ENSDARG00000037895.6
ENSDART00000147626.2	ENSDARG00000007988.11
ENSDART00000132179.3	ENSDARG00000007988.11
ENSDART00000142273.2	ENSDARG00000007988.11
ENSDART00000003789.8	ENSDARG00000018285.8
ENSDART00000186396.1	ENSDARG00000045038.8
ENSDART00000183030.1	ENSDARG00000045038.8
ENSDART00000153281.2	ENSDARG00000045038.8
ENSDART00000192888.1	ENSDARG00000069117.6
ENSDART00000138934.2	ENSDARG00000069117.6
ENSDART00000100322.5	ENSDARG00000069117.6
ENSDART00000188644.1	ENSDARG00000056832.6
ENSDART00000079390.6	ENSDARG00000056832.6
ENSDART00000141523.2	ENSDARG00000056832.6
ENSDART00000144038.2	ENSDARG00000056832.6
ENSDART00000140022.3	ENSDARG00000056832.6
ENSDART00000137889.2	ENSDARG00000074777.6
ENSDART00000186552.1	ENSDARG00000074777.6
ENSDART00000180680.1	ENSDARG00000074777.6
ENSDART00000190191.1	ENSDARG00000074777.6
ENSDART00000144361.4	ENSDARG00000074777.6
ENSDART00000184364.1	ENSDARG00000074777.6
ENSDART00000138695.3	ENSDARG00000074777.6
ENSDART00000065998.8	ENSDARG00000074777.6
ENSDART00000062894.5	ENSDARG00000042853.7
ENSDART00000135445.2	ENSDARG00000042853.7
ENSDART00000133468.2	ENSDARG00000042853.7
ENSDART00000134686.2	ENSDARG00000042853.7
ENSDART00000022768.8	ENSDARG00000012555.8
ENSDART00000188199.1	ENSDARG00000112579.1
ENSDART00000020743.8	ENSDARG00000112579.1
ENSDART00000184871.1	ENSDARG00000008209.13
ENSDART00000153150.3	ENSDARG00000008209.13
ENSDART00000180568.1	ENSDARG00000091419.3
ENSDART00000122657.3	ENSDARG00000091419.3
ENSDART00000187025.1	ENSDARG00000042210.8
ENSDART00000061886.6	ENSDARG00000042210.8
ENSDART00000166114.2	ENSDARG00000042210.8
ENSDART00000139856.2	ENSDARG00000057234.6
ENSDART00000138279.2	ENSDARG00000057234.6
ENSDART00000134747.2	ENSDARG00000057234.6
ENSDART00000079842.5	ENSDARG00000057234.6
ENSDART00000062135.6	ENSDARG00000042379.6
ENSDART00000136195.4	ENSDARG00000093312.5
ENSDART00000143777.4	ENSDARG00000093312.5
ENSDART00000187693.1	ENSDARG00000093312.5
ENSDART00000035325.9	ENSDARG00000022532.11
ENSDART00000149144.4	ENSDARG00000022532.11
ENSDART00000113644.4	ENSDARG00000074471.5
ENSDART00000156303.2	ENSDARG00000074471.5
ENSDART00000104042.4	ENSDARG00000055481.8
ENSDART00000136076.3	ENSDARG00000055481.8
ENSDART00000122407.3	ENSDARG00000087554.3
ENSDART00000144387.2	ENSDARG00000027472.9
ENSDART00000035011.8	ENSDARG00000027472.9
ENSDART00000137807.3	ENSDARG00000052928.5
ENSDART00000185727.1	ENSDARG00000052928.5
ENSDART00000074873.4	ENSDARG00000052928.5
ENSDART00000134217.2	ENSDARG00000095025.2
ENSDART00000162947.2	ENSDARG00000101501.2
ENSDART00000148572.2	ENSDARG00000053222.9
ENSDART00000148917.3	ENSDARG00000053222.9
ENSDART00000148790.3	ENSDARG00000053222.9
ENSDART00000149080.3	ENSDARG00000053222.9
ENSDART00000075230.7	ENSDARG00000053222.9
ENSDART00000149809.2	ENSDARG00000053222.9
ENSDART00000019620.10	ENSDARG00000021945.9
ENSDART00000133700.2	ENSDARG00000009447.8
ENSDART00000005903.8	ENSDARG00000009447.8
ENSDART00000135065.2	ENSDARG00000009447.8
ENSDART00000155711.3	ENSDARG00000057790.7
ENSDART00000168748.2	ENSDARG00000104752.2
ENSDART00000152772.3	ENSDARG00000015989.10
ENSDART00000152712.2	ENSDARG00000015989.10
ENSDART00000046159.6	ENSDARG00000032885.8
ENSDART00000131957.2	ENSDARG00000040332.9
ENSDART00000142035.2	ENSDARG00000040332.9
ENSDART00000159676.2	ENSDARG00000027418.8
ENSDART00000033411.8	ENSDARG00000027418.8
ENSDART00000051664.4	ENSDARG00000035630.4
ENSDART00000192826.1	ENSDARG00000035630.4
ENSDART00000193543.1	ENSDARG00000056550.5
ENSDART00000079064.5	ENSDARG00000056550.5
ENSDART00000153739.2	ENSDARG00000006566.11
ENSDART00000109790.5	ENSDARG00000006566.11
ENSDART00000184418.1	ENSDARG00000006566.11
ENSDART00000167452.2	ENSDARG00000099342.2
ENSDART00000162137.2	ENSDARG00000099342.2
ENSDART00000081158.5	ENSDARG00000058302.6
ENSDART00000105146.4	ENSDARG00000036912.6
ENSDART00000135725.2	ENSDARG00000033376.8
ENSDART00000039847.8	ENSDARG00000033376.8
ENSDART00000101974.4	ENSDARG00000032866.7
ENSDART00000115298.3	ENSDARG00000076657.5
ENSDART00000185612.1	ENSDARG00000076657.5
ENSDART00000180524.1	ENSDARG00000076657.5
ENSDART00000039640.6	ENSDARG00000029928.9
ENSDART00000130876.3	ENSDARG00000029928.9
ENSDART00000139209.3	ENSDARG00000029928.9
ENSDART00000149640.2	ENSDARG00000032553.6
ENSDART00000150063.2	ENSDARG00000032553.6
ENSDART00000063539.6	ENSDARG00000043283.9
ENSDART00000177476.2	ENSDARG00000043283.9
ENSDART00000168297.2	ENSDARG00000104708.2
ENSDART00000158313.2	ENSDARG00000104708.2
ENSDART00000182782.1	ENSDARG00000091902.4
ENSDART00000132755.2	ENSDARG00000091902.4
ENSDART00000140767.4	ENSDARG00000091902.4
ENSDART00000139063.3	ENSDARG00000091902.4
ENSDART00000170023.3	ENSDARG00000102023.3
ENSDART00000188287.1	ENSDARG00000102023.3
ENSDART00000016197.7	ENSDARG00000013295.11
ENSDART00000134816.2	ENSDARG00000013295.11
ENSDART00000175075.2	ENSDARG00000013295.11
ENSDART00000170731.2	ENSDARG00000070714.6
ENSDART00000193291.1	ENSDARG00000070714.6
ENSDART00000162621.2	ENSDARG00000070714.6
ENSDART00000157561.2	ENSDARG00000070714.6
ENSDART00000104107.5	ENSDARG00000070714.6
ENSDART00000165376.2	ENSDARG00000104500.2
ENSDART00000166539.2	ENSDARG00000104500.2
ENSDART00000146179.2	ENSDARG00000006174.7
ENSDART00000004871.7	ENSDARG00000006174.7
ENSDART00000166783.2	ENSDARG00000092060.4
ENSDART00000125638.5	ENSDARG00000092060.4
ENSDART00000173365.2	ENSDARG00000105324.2
ENSDART00000167023.2	ENSDARG00000101046.2
ENSDART00000153731.2	ENSDARG00000040284.6
ENSDART00000191290.1	ENSDARG00000062686.7
ENSDART00000090855.5	ENSDARG00000062686.7
ENSDART00000147902.3	ENSDARG00000062686.7
ENSDART00000026694.9	ENSDARG00000017605.9
ENSDART00000146839.2	ENSDARG00000017605.9
ENSDART00000127214.4	ENSDARG00000020447.11
ENSDART00000136838.2	ENSDARG00000020447.11
ENSDART00000182541.1	ENSDARG00000020447.11
ENSDART00000146268.2	ENSDARG00000020447.11
ENSDART00000184736.1	ENSDARG00000020447.11
ENSDART00000142904.2	ENSDARG00000020447.11
ENSDART00000133427.2	ENSDARG00000020447.11
ENSDART00000191378.1	ENSDARG00000060006.8
ENSDART00000146576.3	ENSDARG00000060006.8
ENSDART00000084061.7	ENSDARG00000060006.8
ENSDART00000077122.6	ENSDARG00000054847.7
ENSDART00000115046.4	ENSDARG00000054847.7
ENSDART00000067409.4	ENSDARG00000045864.7
ENSDART00000138221.2	ENSDARG00000045864.7
ENSDART00000114293.4	ENSDARG00000076853.4
ENSDART00000163247.2	ENSDARG00000076853.4
ENSDART00000185502.1	ENSDARG00000016886.8
ENSDART00000024822.7	ENSDARG00000016886.8
ENSDART00000172093.2	ENSDARG00000075022.4
ENSDART00000077895.4	ENSDARG00000055524.4
ENSDART00000142247.3	ENSDARG00000092916.3
ENSDART00000140652.2	ENSDARG00000092916.3
ENSDART00000162361.2	ENSDARG00000103441.2
ENSDART00000164496.2	ENSDARG00000103441.2
ENSDART00000100714.5	ENSDARG00000069292.6
ENSDART00000100717.5	ENSDARG00000069292.6
ENSDART00000100693.6	ENSDARG00000069292.6
ENSDART00000136377.3	ENSDARG00000092033.4
ENSDART00000138785.3	ENSDARG00000092033.4
ENSDART00000169465.2	ENSDARG00000099233.2
ENSDART00000168903.2	ENSDARG00000099233.2
ENSDART00000139346.2	ENSDARG00000010482.8
ENSDART00000142321.2	ENSDARG00000010482.8
ENSDART00000014785.8	ENSDARG00000010482.8
ENSDART00000101671.5	ENSDARG00000009315.9
ENSDART00000164709.3	ENSDARG00000077205.6
ENSDART00000155653.3	ENSDARG00000097421.3
ENSDART00000167804.2	ENSDARG00000097421.3
ENSDART00000181195.1	ENSDARG00000005002.7
ENSDART00000035827.6	ENSDARG00000005002.7
ENSDART00000131907.2	ENSDARG00000005002.7
ENSDART00000184008.1	ENSDARG00000071086.6
ENSDART00000151714.2	ENSDARG00000071086.6
ENSDART00000132389.2	ENSDARG00000077026.5
ENSDART00000113797.5	ENSDARG00000077101.5
ENSDART00000018515.5	ENSDARG00000003564.5
ENSDART00000126277.4	ENSDARG00000042839.8
ENSDART00000156774.2	ENSDARG00000042839.8
ENSDART00000155981.2	ENSDARG00000042839.8
ENSDART00000138483.2	ENSDARG00000095174.2
ENSDART00000155471.2	ENSDARG00000110832.1
ENSDART00000170642.2	ENSDARG00000099639.2
ENSDART00000128684.3	ENSDARG00000091555.3
ENSDART00000168698.2	ENSDARG00000091555.3
ENSDART00000168556.2	ENSDARG00000091555.3
ENSDART00000157402.2	ENSDARG00000091555.3
ENSDART00000160914.2	ENSDARG00000097718.2
ENSDART00000154481.2	ENSDARG00000097718.2
ENSDART00000172069.2	ENSDARG00000099667.2
ENSDART00000110272.4	ENSDARG00000075905.5
ENSDART00000156911.3	ENSDARG00000075905.5
ENSDART00000182399.1	ENSDARG00000006747.10
ENSDART00000036779.8	ENSDARG00000006747.10
ENSDART00000176027.2	ENSDARG00000062489.8
ENSDART00000054579.6	ENSDARG00000062489.8
ENSDART00000145609.2	ENSDARG00000062489.8
ENSDART00000144813.3	ENSDARG00000062489.8
ENSDART00000144324.2	ENSDARG00000062489.8
ENSDART00000135920.2	ENSDARG00000062489.8
ENSDART00000057645.6	ENSDARG00000039459.7
ENSDART00000169114.2	ENSDARG00000076004.5
ENSDART00000141078.2	ENSDARG00000076004.5
ENSDART00000114043.4	ENSDARG00000076004.5
ENSDART00000113656.5	ENSDARG00000076004.5
ENSDART00000114876.5	ENSDARG00000063169.8
ENSDART00000146065.4	ENSDARG00000063169.8
ENSDART00000132812.2	ENSDARG00000063169.8
ENSDART00000075676.7	ENSDARG00000036460.8
ENSDART00000004181.9	ENSDARG00000017047.10
ENSDART00000080173.6	ENSDARG00000057484.8
ENSDART00000140550.2	ENSDARG00000057484.8
ENSDART00000153174.2	ENSDARG00000057484.8
ENSDART00000153056.3	ENSDARG00000057484.8
ENSDART00000153210.2	ENSDARG00000057484.8
ENSDART00000146446.3	ENSDARG00000057484.8
ENSDART00000136278.3	ENSDARG00000057484.8
ENSDART00000137464.2	ENSDARG00000057484.8
ENSDART00000132753.2	ENSDARG00000057484.8
ENSDART00000165299.2	ENSDARG00000057484.8
ENSDART00000153102.3	ENSDARG00000057484.8
ENSDART00000185217.1	ENSDARG00000078654.5
ENSDART00000143121.3	ENSDARG00000078654.5
ENSDART00000111877.4	ENSDARG00000078654.5
ENSDART00000145501.3	ENSDARG00000078654.5
ENSDART00000140947.2	ENSDARG00000078654.5
ENSDART00000132185.2	ENSDARG00000078654.5
ENSDART00000143523.2	ENSDARG00000078654.5
ENSDART00000132098.2	ENSDARG00000078654.5
ENSDART00000154701.3	ENSDARG00000097617.3
ENSDART00000154107.2	ENSDARG00000097617.3
ENSDART00000166318.2	ENSDARG00000062956.7
ENSDART00000172964.2	ENSDARG00000062956.7
ENSDART00000172969.2	ENSDARG00000062956.7
ENSDART00000191905.1	ENSDARG00000062956.7
ENSDART00000091567.6	ENSDARG00000062956.7
ENSDART00000160795.3	ENSDARG00000062956.7
ENSDART00000170763.3	ENSDARG00000099123.3
ENSDART00000172831.2	ENSDARG00000105366.2
ENSDART00000033949.4	ENSDARG00000024669.4
ENSDART00000023006.5	ENSDARG00000018921.5
ENSDART00000019270.8	ENSDARG00000011301.12
ENSDART00000143800.2	ENSDARG00000055839.7
ENSDART00000086935.7	ENSDARG00000055839.7
ENSDART00000029063.7	ENSDARG00000024139.9
ENSDART00000155709.2	ENSDARG00000090232.4
ENSDART00000168812.2	ENSDARG00000070952.8
ENSDART00000135396.3	ENSDARG00000070952.8
ENSDART00000104607.6	ENSDARG00000070952.8
ENSDART00000143495.3	ENSDARG00000093999.4
ENSDART00000137855.4	ENSDARG00000093999.4
ENSDART00000185568.1	ENSDARG00000093999.4
ENSDART00000173227.2	ENSDARG00000037292.8
ENSDART00000106074.5	ENSDARG00000037292.8
ENSDART00000167036.2	ENSDARG00000104470.3
ENSDART00000161712.3	ENSDARG00000104470.3
ENSDART00000158156.2	ENSDARG00000104470.3
ENSDART00000078509.6	ENSDARG00000056090.7
ENSDART00000016672.9	ENSDARG00000056090.7
ENSDART00000170037.2	ENSDARG00000056090.7
ENSDART00000139859.3	ENSDARG00000002507.12
ENSDART00000186784.1	ENSDARG00000002507.12
ENSDART00000011224.10	ENSDARG00000002507.12
ENSDART00000102904.5	ENSDARG00000008075.8
ENSDART00000110735.3	ENSDARG00000093498.3
ENSDART00000172874.2	ENSDARG00000090815.4
ENSDART00000160137.2	ENSDARG00000090815.4
ENSDART00000135743.2	ENSDARG00000079075.5
ENSDART00000158366.2	ENSDARG00000100732.2
ENSDART00000140319.3	ENSDARG00000092061.3
ENSDART00000142697.3	ENSDARG00000092061.3
ENSDART00000159384.2	ENSDARG00000098753.2
ENSDART00000162706.2	ENSDARG00000098753.2
ENSDART00000157815.2	ENSDARG00000098753.2
ENSDART00000164563.2	ENSDARG00000098753.2
ENSDART00000183907.1	ENSDARG00000098753.2
ENSDART00000172618.2	ENSDARG00000098753.2
ENSDART00000026963.7	ENSDARG00000016979.8
ENSDART00000150768.2	ENSDARG00000016979.8
ENSDART00000150516.2	ENSDARG00000016979.8
ENSDART00000166201.2	ENSDARG00000076132.6
ENSDART00000127243.3	ENSDARG00000076132.6
ENSDART00000147467.3	ENSDARG00000042214.7
ENSDART00000142866.2	ENSDARG00000042214.7
ENSDART00000134827.3	ENSDARG00000042214.7
ENSDART00000061904.7	ENSDARG00000042214.7
ENSDART00000185989.1	ENSDARG00000076480.5
ENSDART00000115290.4	ENSDARG00000076480.5
ENSDART00000140388.2	ENSDARG00000076480.5
ENSDART00000140477.2	ENSDARG00000076480.5
ENSDART00000187283.1	ENSDARG00000076480.5
ENSDART00000159617.2	ENSDARG00000098460.2
ENSDART00000044009.7	ENSDARG00000030265.9
ENSDART00000183889.1	ENSDARG00000030265.9
ENSDART00000150544.2	ENSDARG00000096012.3
ENSDART00000187011.1	ENSDARG00000096012.3
ENSDART00000161027.2	ENSDARG00000099003.2
ENSDART00000081945.4	ENSDARG00000058962.6
ENSDART00000109083.5	ENSDARG00000058962.6
ENSDART00000132385.2	ENSDARG00000058962.6
ENSDART00000143381.3	ENSDARG00000105798.2
ENSDART00000167834.2	ENSDARG00000068910.7
ENSDART00000099810.4	ENSDARG00000068910.7
ENSDART00000161706.2	ENSDARG00000068910.7
ENSDART00000149300.2	ENSDARG00000077377.5
ENSDART00000123950.4	ENSDARG00000077377.5
ENSDART00000131295.4	ENSDARG00000020527.13
ENSDART00000143377.3	ENSDARG00000020527.13
ENSDART00000136480.4	ENSDARG00000020527.13
ENSDART00000004655.8	ENSDARG00000017659.8
ENSDART00000192371.1	ENSDARG00000017659.8
ENSDART00000127974.4	ENSDARG00000007398.10
ENSDART00000029668.9	ENSDARG00000007398.10
ENSDART00000187902.1	ENSDARG00000007398.10
ENSDART00000034268.6	ENSDARG00000026505.7
ENSDART00000183876.1	ENSDARG00000026505.7
ENSDART00000141539.2	ENSDARG00000092677.2
ENSDART00000141803.2	ENSDARG00000092677.2
ENSDART00000101898.7	ENSDARG00000069815.8
ENSDART00000110743.5	ENSDARG00000069815.8
ENSDART00000177453.2	ENSDARG00000069815.8
ENSDART00000054062.5	ENSDARG00000037174.5
ENSDART00000192373.1	ENSDARG00000037174.5
ENSDART00000059752.6	ENSDARG00000040779.6
ENSDART00000186575.1	ENSDARG00000040779.6
ENSDART00000141487.3	ENSDARG00000006604.11
ENSDART00000147593.3	ENSDARG00000006604.11
ENSDART00000031205.9	ENSDARG00000006604.11
ENSDART00000026569.9	ENSDARG00000015472.10
ENSDART00000078053.4	ENSDARG00000068404.4
ENSDART00000135444.2	ENSDARG00000068404.4
ENSDART00000132577.2	ENSDARG00000068404.4
ENSDART00000133763.2	ENSDARG00000093044.2
ENSDART00000105800.3	ENSDARG00000033450.9
ENSDART00000124629.3	ENSDARG00000033450.9
ENSDART00000001318.9	ENSDARG00000033450.9
ENSDART00000124647.4	ENSDARG00000002728.12
ENSDART00000051612.4	ENSDARG00000035603.4
ENSDART00000169269.2	ENSDARG00000104034.2
ENSDART00000165603.2	ENSDARG00000104034.2
ENSDART00000166471.3	ENSDARG00000105708.2
ENSDART00000033152.7	ENSDARG00000058425.4
ENSDART00000170641.3	ENSDARG00000098178.3
ENSDART00000160205.2	ENSDARG00000104080.3
ENSDART00000153313.2	ENSDARG00000016464.11
ENSDART00000040456.9	ENSDARG00000016464.11
ENSDART00000114262.2	ENSDARG00000016464.11
ENSDART00000052862.7	ENSDARG00000036386.9
ENSDART00000173633.2	ENSDARG00000036386.9
ENSDART00000148054.2	ENSDARG00000036386.9
ENSDART00000166299.3	ENSDARG00000103418.3
ENSDART00000150778.2	ENSDARG00000094674.4
ENSDART00000138473.3	ENSDARG00000009567.11
ENSDART00000008841.10	ENSDARG00000017886.11
ENSDART00000110288.5	ENSDARG00000017886.11
ENSDART00000179781.1	ENSDARG00000015184.10
ENSDART00000155042.2	ENSDARG00000015184.10
ENSDART00000152367.3	ENSDARG00000079873.5
ENSDART00000143972.3	ENSDARG00000062650.7
ENSDART00000110992.4	ENSDARG00000062650.7
ENSDART00000090816.6	ENSDARG00000062650.7
ENSDART00000182135.1	ENSDARG00000016875.12
ENSDART00000143287.2	ENSDARG00000016875.12
ENSDART00000008711.10	ENSDARG00000016875.12
ENSDART00000139462.2	ENSDARG00000019707.7
ENSDART00000146754.3	ENSDARG00000019707.7
ENSDART00000144515.2	ENSDARG00000019707.7
ENSDART00000099535.5	ENSDARG00000019707.7
ENSDART00000157947.2	ENSDARG00000100729.2
ENSDART00000166799.2	ENSDARG00000100729.2
ENSDART00000002939.10	ENSDARG00000037140.8
ENSDART00000141553.2	ENSDARG00000037140.8
ENSDART00000165698.2	ENSDARG00000100494.2
ENSDART00000165782.2	ENSDARG00000100494.2
ENSDART00000165330.2	ENSDARG00000100494.2
ENSDART00000050916.6	ENSDARG00000035152.8
ENSDART00000188878.1	ENSDARG00000035152.8
ENSDART00000134387.3	ENSDARG00000035152.8
ENSDART00000171248.2	ENSDARG00000035152.8
ENSDART00000080693.5	ENSDARG00000057936.5
ENSDART00000078021.7	ENSDARG00000055630.7
ENSDART00000152370.2	ENSDARG00000055630.7
ENSDART00000029283.9	ENSDARG00000022176.10
ENSDART00000193500.1	ENSDARG00000022176.10
ENSDART00000101627.4	ENSDARG00000022176.10
ENSDART00000131304.2	ENSDARG00000022176.10
ENSDART00000127209.3	ENSDARG00000090156.3
ENSDART00000105362.5	ENSDARG00000052522.8
ENSDART00000055295.8	ENSDARG00000037943.11
ENSDART00000178448.2	ENSDARG00000037943.11
ENSDART00000148763.3	ENSDARG00000037943.11
ENSDART00000143413.2	ENSDARG00000094887.2
ENSDART00000137610.2	ENSDARG00000036831.5
ENSDART00000053472.5	ENSDARG00000036831.5
ENSDART00000073573.7	ENSDARG00000051858.8
ENSDART00000124683.3	ENSDARG00000051858.8
ENSDART00000162103.2	ENSDARG00000051858.8
ENSDART00000087699.6	ENSDARG00000061480.6
ENSDART00000143861.2	ENSDARG00000092262.2
ENSDART00000089749.6	ENSDARG00000062228.7
ENSDART00000111088.4	ENSDARG00000078105.5
ENSDART00000134059.3	ENSDARG00000078105.5
ENSDART00000133480.2	ENSDARG00000078105.5
ENSDART00000131751.2	ENSDARG00000078105.5
ENSDART00000138777.2	ENSDARG00000078105.5
ENSDART00000147861.2	ENSDARG00000078105.5
ENSDART00000081160.4	ENSDARG00000058299.4
ENSDART00000076835.6	ENSDARG00000054606.6
ENSDART00000156325.2	ENSDARG00000077506.8
ENSDART00000173937.2	ENSDARG00000077506.8
ENSDART00000173846.2	ENSDARG00000077506.8
ENSDART00000173897.2	ENSDARG00000077506.8
ENSDART00000173703.2	ENSDARG00000077506.8
ENSDART00000108721.5	ENSDARG00000077506.8
ENSDART00000173805.2	ENSDARG00000077506.8
ENSDART00000180613.1	ENSDARG00000077506.8
ENSDART00000173702.2	ENSDARG00000077506.8
ENSDART00000148347.5	ENSDARG00000077506.8
ENSDART00000185625.1	ENSDARG00000077506.8
ENSDART00000155974.2	ENSDARG00000077506.8
ENSDART00000183206.1	ENSDARG00000017365.12
ENSDART00000021715.11	ENSDARG00000017365.12
ENSDART00000146243.2	ENSDARG00000057676.7
ENSDART00000186139.1	ENSDARG00000057676.7
ENSDART00000139022.3	ENSDARG00000057676.7
ENSDART00000131745.3	ENSDARG00000057676.7
ENSDART00000145962.2	ENSDARG00000057676.7
ENSDART00000080395.6	ENSDARG00000057676.7
ENSDART00000141525.3	ENSDARG00000057676.7
ENSDART00000061744.7	ENSDARG00000042129.9
ENSDART00000129227.3	ENSDARG00000089094.3
ENSDART00000163059.2	ENSDARG00000089094.3
ENSDART00000160542.2	ENSDARG00000052016.5
ENSDART00000172336.2	ENSDARG00000052016.5
ENSDART00000055563.5	ENSDARG00000038112.6
ENSDART00000079449.5	ENSDARG00000056873.5
ENSDART00000169706.3	ENSDARG00000022531.7
ENSDART00000039482.5	ENSDARG00000022531.7
ENSDART00000159428.2	ENSDARG00000101577.2
ENSDART00000163642.2	ENSDARG00000101577.2
ENSDART00000185541.1	ENSDARG00000059370.8
ENSDART00000082475.7	ENSDARG00000059370.8
ENSDART00000155844.3	ENSDARG00000059370.8
ENSDART00000122222.3	ENSDARG00000044914.9
ENSDART00000000698.9	ENSDARG00000000656.10
ENSDART00000126064.3	ENSDARG00000091009.3
ENSDART00000136757.3	ENSDARG00000043396.7
ENSDART00000063706.5	ENSDARG00000043396.7
ENSDART00000076519.5	ENSDARG00000054334.5
ENSDART00000146732.3	ENSDARG00000011299.11
ENSDART00000109415.3	ENSDARG00000011299.11
ENSDART00000108579.5	ENSDARG00000011299.11
ENSDART00000134581.2	ENSDARG00000011299.11
ENSDART00000128531.3	ENSDARG00000101469.2
ENSDART00000099760.4	ENSDARG00000101469.2
ENSDART00000159142.2	ENSDARG00000101469.2
ENSDART00000157604.2	ENSDARG00000101469.2
ENSDART00000169108.2	ENSDARG00000104965.2
ENSDART00000145278.2	ENSDARG00000087388.4
ENSDART00000186527.1	ENSDARG00000112491.1
ENSDART00000002250.5	ENSDARG00000012025.5
ENSDART00000022643.7	ENSDARG00000014692.7
ENSDART00000104072.6	ENSDARG00000070698.6
ENSDART00000083359.6	ENSDARG00000059729.6
ENSDART00000144810.2	ENSDARG00000059729.6
ENSDART00000134814.3	ENSDARG00000058246.6
ENSDART00000081095.4	ENSDARG00000058246.6
ENSDART00000032341.4	ENSDARG00000023989.4
ENSDART00000076903.5	ENSDARG00000054667.5
ENSDART00000133464.2	ENSDARG00000036833.6
ENSDART00000053473.6	ENSDARG00000036833.6
ENSDART00000138299.4	ENSDARG00000076398.6
ENSDART00000147755.2	ENSDARG00000078569.5
ENSDART00000178882.2	ENSDARG00000008735.11
ENSDART00000016873.9	ENSDARG00000008735.11
ENSDART00000149634.2	ENSDARG00000008735.11
ENSDART00000125561.4	ENSDARG00000008735.11
ENSDART00000187336.1	ENSDARG00000110152.1
ENSDART00000146150.2	ENSDARG00000110483.1
ENSDART00000090081.6	ENSDARG00000062352.7
ENSDART00000140732.2	ENSDARG00000062352.7
ENSDART00000150238.2	ENSDARG00000095837.2
ENSDART00000160825.2	ENSDARG00000115299.1
ENSDART00000185361.1	ENSDARG00000115299.1
ENSDART00000080334.6	ENSDARG00000015966.12
ENSDART00000143202.2	ENSDARG00000015966.12
ENSDART00000137378.2	ENSDARG00000015966.12
ENSDART00000155615.2	ENSDARG00000097650.2
ENSDART00000171487.2	ENSDARG00000026762.6
ENSDART00000169483.2	ENSDARG00000026762.6
ENSDART00000033132.6	ENSDARG00000026762.6
ENSDART00000011520.8	ENSDARG00000021201.8
ENSDART00000149622.3	ENSDARG00000086189.5
ENSDART00000167260.2	ENSDARG00000051795.6
ENSDART00000104347.4	ENSDARG00000051795.6
ENSDART00000157945.3	ENSDARG00000101385.4
ENSDART00000172676.3	ENSDARG00000101385.4
ENSDART00000169355.2	ENSDARG00000020212.10
ENSDART00000148465.3	ENSDARG00000020212.10
ENSDART00000138864.3	ENSDARG00000110781.1
ENSDART00000125350.3	ENSDARG00000110781.1
ENSDART00000155723.2	ENSDARG00000088251.4
ENSDART00000122617.4	ENSDARG00000088251.4
ENSDART00000155526.2	ENSDARG00000088251.4
ENSDART00000162999.2	ENSDARG00000071695.5
ENSDART00000010512.7	ENSDARG00000011026.8
ENSDART00000173231.2	ENSDARG00000011026.8
ENSDART00000101276.6	ENSDARG00000032324.9
ENSDART00000101269.5	ENSDARG00000032324.9
ENSDART00000135334.2	ENSDARG00000032324.9
ENSDART00000132878.3	ENSDARG00000032324.9
ENSDART00000134562.2	ENSDARG00000044125.3
ENSDART00000134361.2	ENSDARG00000044125.3
ENSDART00000064789.3	ENSDARG00000044125.3
ENSDART00000167970.2	ENSDARG00000101694.2
ENSDART00000124873.3	ENSDARG00000089345.3
ENSDART00000159701.3	ENSDARG00000067985.8
ENSDART00000122206.3	ENSDARG00000067985.8
ENSDART00000089569.5	ENSDARG00000062173.7
ENSDART00000142947.3	ENSDARG00000062173.7
ENSDART00000154161.2	ENSDARG00000052104.8
ENSDART00000121558.4	ENSDARG00000052104.8
ENSDART00000110682.4	ENSDARG00000008174.7
ENSDART00000138685.2	ENSDARG00000075974.6
ENSDART00000143331.2	ENSDARG00000075974.6
ENSDART00000134153.3	ENSDARG00000075974.6
ENSDART00000141265.3	ENSDARG00000091947.3
ENSDART00000158834.2	ENSDARG00000102215.2
